image_id,code,ground_truth_code,predicted_code,ground_truth_mm,predicted_mm,error_mm,abs_error_mm,label_confidence,measurement_confidence,review_required,no_zone_fallback_used
1.1.1,AM,AM10,AM10,22.0,40.92,18.92,18.92,0.99,0.84,True,False
1.1.1,AMC,AMC,AMC,22.0,20.57,-1.43,1.43,0.84,0.84,True,False
1.1.1,CAZ,CAZ,CAZ,28.0,40.92,12.92,12.92,0.949,0.84,True,False
1.1.1,CIP,CIP,CIP,34.0,40.92,6.92,6.92,0.99,0.84,True,False
1.1.1,CN,CN,CN,21.0,22.63,1.63,1.63,0.99,0.84,True,False
1.1.1,CPD,CPD,CPD,28.0,40.92,12.92,12.92,0.99,0.84,True,False
1.1.1,CRO,CRO,CRO,35.0,33.15,-1.85,1.85,0.99,0.84,True,False
1.1.1,ETP,ETP,ETP,38.0,42.52,4.52,4.52,0.99,0.72,True,False
1.1.1,F100,F100,F100,22.0,20.8,-1.2,1.2,0.99,0.689,True,False
1.1.1,FEP,FEP,FEP,36.0,34.12,-1.88,1.88,0.99,0.79,True,False
1.1.1,FF,FF,FF,30.0,6.0,-24.0,24.0,0.99,0.679,True,True
1.1.1,FOX,FOX,FOX,26.0,40.0,14.0,14.0,0.99,0.84,True,False
1.1.1,MEM,MEM,MEM,34.0,40.92,6.92,6.92,0.99,0.741,True,False
1.1.1,PEF,PEF,PEF,28.0,42.52,14.52,14.52,0.99,0.72,True,False
1.1.1,SXT,SXT,SXT,30.0,40.92,10.92,10.92,0.99,0.84,True,False
1.1.1,TPZ,TPZ,TPZ,26.0,42.52,16.52,16.52,0.99,0.72,True,False
1.10.1,AK,AK,AK,20.0,19.74,-0.26,0.26,0.99,0.84,True,False
1.10.1,AM,AM10,AM10,6.0,41.08,35.08,35.08,0.99,0.84,True,False
1.10.1,AMC,AMC,AMC,13.0,35.82,22.82,22.82,0.981,0.782,True,False
1.10.1,CAZ,CAZ,CAZ,22.0,41.08,19.08,19.08,0.99,0.84,True,False
1.10.1,CIP,CIP,CIP,25.0,13.95,-11.05,11.05,0.99,0.705,True,False
1.10.1,CN,CN,CN,21.0,44.53,23.53,23.53,0.99,0.72,True,False
1.10.1,CPD,CPD,CPD,22.0,44.53,22.53,22.53,0.99,0.72,True,False
1.10.1,CRO,CRO,CRO,26.0,41.08,15.08,15.08,0.99,0.84,True,False
1.10.1,ETP,ETP,ETP,28.0,41.08,13.08,13.08,0.977,0.84,True,False
1.10.1,FEP,FEP,FEP,30.0,41.08,11.08,11.08,0.99,0.84,True,False
1.10.1,FOX,FOX,FOX,6.0,41.08,35.08,35.08,0.84,0.84,True,False
1.10.1,MEM,MEM,MEM,30.0,41.08,11.08,11.08,0.99,0.84,True,False
1.10.1,PEF,PEF,PEF,18.0,39.94,21.94,21.94,0.99,0.84,True,False
1.10.1,SXT,SXT,SXT,18.0,42.69,24.69,24.69,0.99,0.72,True,False
1.10.1,TOB,TOB,TOB,19.0,20.2,1.2,1.2,0.84,0.84,True,False
1.10.1,TPZ,TPZ,TPZ,19.0,41.08,22.08,22.08,0.84,0.84,True,False
