image_id,code,ground_truth_code,predicted_code,ground_truth_mm,predicted_mm,error_mm,abs_error_mm,label_confidence,measurement_confidence,review_required,no_zone_fallback_used
1.1.1,AM,AM10,AM,22.0,20.2,-1.8,1.8,0.99,0.861,True,False
1.1.1,AMC,AMC,AMC,22.0,30.07,8.07,8.07,0.99,0.84,True,False
1.1.1,CAZ,CAZ,CAZ,28.0,11.94,-16.06,16.06,0.965,0.84,False,False
1.1.1,CN,CN,CN,21.0,40.86,19.86,19.86,0.94,0.845,True,False
1.1.1,ETP,ETP,ETP,38.0,17.79,-20.21,20.21,0.99,0.855,True,False
1.1.1,FEP,FEP,FEP,36.0,21.81,-14.19,14.19,0.99,0.855,True,False
1.1.1,FF,FF,FF,30.0,40.4,10.4,10.4,0.99,0.769,True,False
1.1.1,FOX,FOX,FOX,26.0,22.49,-3.51,3.51,0.99,0.756,False,False
1.1.1,MEM,MEM,MEM,34.0,17.22,-16.78,16.78,0.99,0.857,True,False
1.1.1,PEF,PEF,PEF,28.0,18.48,-9.52,9.52,0.99,0.862,True,False
1.1.1,SXT,SXT,SXT,30.0,18.25,-11.75,11.75,0.99,0.868,True,False
1.1.1,TPZ,TPZ,TPZ,26.0,18.94,-7.06,7.06,0.936,0.846,True,False
1.10.1,AK,AK,AK,20.0,36.35,16.35,16.35,0.99,0.843,True,False
1.10.1,AM,AM10,AM,6.0,40.74,34.74,34.74,0.975,0.861,True,False
1.10.1,CRO,CRO,CRO,26.0,40.63,14.63,14.63,0.99,0.852,True,False
1.2.1,AMC,AMC,AMC,22.0,39.68,17.68,17.68,0.99,0.855,True,False
1.2.1,CAZ,CAZ,CAZ,24.0,19.56,-4.44,4.44,0.92,0.78,False,False
1.2.1,CN,CN,CN,20.0,13.11,-6.89,6.89,0.99,0.84,False,False
1.2.1,CRO,CRO,CRO,26.0,20.8,-5.2,5.2,0.94,0.758,True,False
1.2.1,ETP,ETP,ETP,29.0,11.76,-17.24,17.24,0.99,0.84,False,False
1.2.1,FEP,FEP,FEP,28.0,24.76,-3.24,3.24,0.99,0.842,True,False
1.2.1,FF,FF,FF,18.0,37.87,19.87,19.87,0.99,0.847,True,False
1.2.1,FOX,FOX,FOX,20.0,16.96,-3.04,3.04,0.99,0.84,True,False
1.2.1,MEM,MEM,MEM,34.0,17.3,-16.7,16.7,0.99,0.857,True,False
1.2.1,PEF,PEF,PEF,24.0,18.99,-5.01,5.01,0.99,0.844,True,False
1.2.1,SXT,SXT,SXT,32.0,13.51,-18.49,18.49,0.99,0.84,True,False
1.2.1,TPZ,TPZ,TPZ,20.0,13.79,-6.21,6.21,0.99,0.84,True,False
1.3.1,AM,AM10,AM,21.0,19.76,-1.24,1.24,0.99,0.84,False,False
1.3.1,AMC,AMC,AMC,21.0,38.49,17.49,17.49,0.99,0.846,True,False
1.3.1,CAZ,CAZ,CAZ,26.0,18.28,-7.72,7.72,0.92,0.756,True,False
1.3.1,CPD,CPD,CPD,25.0,19.53,-5.47,5.47,0.99,0.751,True,False
1.3.1,ETP,ETP,ETP,33.0,12.94,-20.06,20.06,0.99,0.84,False,False
1.3.1,FF,FF,FF,26.0,39.4,13.4,13.4,0.99,0.842,True,False
1.3.1,MEM,MEM,MEM,34.0,17.03,-16.97,16.97,0.99,0.865,True,False
1.3.1,PEF,PEF,PEF,29.0,18.17,-10.83,10.83,0.99,0.854,True,False
1.3.1,SXT,SXT,SXT,29.0,16.46,-12.54,12.54,0.99,0.857,True,False
1.4.1,CAZ,CAZ,CAZ,25.0,18.01,-6.99,6.99,0.951,0.761,True,False
1.4.1,CN,CN,CN,22.0,13.06,-8.94,8.94,0.99,0.84,True,False
1.4.1,ETP,ETP,ETP,29.0,16.85,-12.15,12.15,0.99,0.866,True,False
1.4.1,FF,FF,FF,17.0,18.11,1.11,1.11,0.86,0.84,True,False
1.4.1,MEM,MEM,MEM,29.0,15.37,-13.63,13.63,0.99,0.874,True,False
1.4.1,SXT,SXT,SXT,21.0,18.64,-2.36,2.36,0.99,0.867,True,False
1.4.1,TPZ,TPZ,TPZ,20.0,15.79,-4.21,4.21,0.987,0.781,True,False
1.5.1,AM,AM10,AM,28.0,20.83,-7.17,7.17,0.99,0.854,True,False
1.5.1,AMC,AMC,AMC,26.0,25.26,-0.74,0.74,0.99,0.84,True,False
1.5.1,CAZ,CAZ,CAZ,30.0,19.61,-10.39,10.39,0.92,0.851,True,False
1.5.1,ETP,ETP,ETP,37.0,12.19,-24.81,24.81,0.99,0.84,False,False
1.5.1,FOX,FOX,FOX,26.0,20.83,-5.17,5.17,0.99,0.761,True,False
1.5.1,MEM,MEM,MEM,30.0,12.41,-17.59,17.59,0.99,0.84,True,False
1.5.1,PEF,PEF,PEF,28.0,16.06,-11.94,11.94,0.99,0.77,False,False
1.5.1,SXT,SXT,SXT,28.0,15.07,-12.93,12.93,0.99,0.858,True,False
1.5.1,TPZ,TPZ,TPZ,28.0,17.28,-10.72,10.72,0.936,0.86,True,False
1.6.1,AM,AM10,AM,6.0,40.68,34.68,34.68,0.99,0.857,True,False
1.6.1,CAZ,CAZ,CAZ,31.0,18.24,-12.76,12.76,0.949,0.757,False,False
1.6.1,CN,CN,CN,19.0,15.64,-3.36,3.36,0.99,0.84,False,False
1.6.1,FF,FF,FF,30.0,27.65,-2.35,2.35,0.99,0.84,True,False
1.6.1,FOX,FOX,FOX,24.0,21.07,-2.93,2.93,0.99,0.77,False,False
1.6.1,MEM,MEM,MEM,38.0,17.11,-20.89,20.89,0.99,0.842,True,False
1.6.1,SXT,SXT,SXT,25.0,11.16,-13.84,13.84,0.99,0.84,True,False
1.6.1,TPZ,TPZ,TZP,13.0,19.04,6.04,6.04,0.99,0.762,True,False
1.7.1,AM,AM10,AM,6.0,30.87,24.87,24.87,0.99,0.765,True,False
1.7.1,CN,CN,CN,22.0,38.14,16.14,16.14,0.94,0.843,True,False
1.8.1,AM,AM10,AM,6.0,18.62,12.62,12.62,0.99,0.861,True,False
1.8.1,CN,CN,CN,20.0,20.46,0.46,0.46,0.99,0.855,True,False
1.9.1,AK,AK,AK,20.0,30.44,10.44,10.44,0.99,0.844,True,False
1.9.1,AM,AM10,AM,20.0,19.88,-0.12,0.12,0.99,0.762,True,False
1.9.1,CN,CN,CN,22.0,21.26,-0.74,0.74,0.99,0.752,True,False
