image_id,source_group,provenance,analysis_status,predicted_disc_count,expected_disc_count,count_matches_ground_truth,matched_disc_count,measurement_mae_mm,measurement_max_abs_error_mm,missing_codes,unexpected_codes,review_required_count,failed_count,strict_failed,full_pass,root_causes,warnings
1.1.1,dryad_sirscan,dryad_original,REQUIRES_MANUAL_REVIEW,16,16,True,12,11.6,20.21,CIP | CPD | CRO | F100,CFM | CN | OFX | P,13,0,True,False,ocr_wrong_code | zone_measurement_error,
1.10.1,dryad_sirscan,dryad_original,REQUIRES_MANUAL_REVIEW,9,16,False,3,21.91,34.74,AMC | CAZ | CIP | CN | CPD | ETP | FEP | FOX | MEM | PEF | SXT | TOB | TPZ,AK | DO | P | P | P | TE,9,0,True,False,image_quality_or_thresholding_issue | missed_discs | ocr_wrong_code | zone_measurement_error | zone_selection_underestimate,Glare or reflection detected on the plate. | Glare or reflection detected on the plate.
1.2.1,dryad_sirscan,dryad_original,REQUIRES_MANUAL_REVIEW,17,16,False,12,10.33,19.87,AM | CIP | CPD | F100,CLI | P | P | TE | VA,14,0,True,False,false_positive_discs | ocr_wrong_code | zone_measurement_error,
1.3.1,dryad_sirscan,dryad_original,REQUIRES_MANUAL_REVIEW,14,16,False,9,11.75,20.06,CIP | CN | CRO | F100 | FEP | FOX | TPZ,FF | NOR | P | P | P,12,0,True,False,missed_discs | ocr_wrong_code | zone_measurement_error,
1.4.1,dryad_sirscan,dryad_original,REQUIRES_MANUAL_REVIEW,14,16,False,7,7.06,13.63,AM | AMC | CIP | CPD | CRO | F100 | FEP | FOX | PEF,CN | CN | P | P | P | SAM | VA,14,0,True,False,image_quality_or_thresholding_issue | missed_discs | ocr_wrong_code | zone_measurement_error,Glare or reflection detected on the plate. | Glare or reflection detected on the plate.
1.5.1,dryad_sirscan,dryad_original,REQUIRES_MANUAL_REVIEW,11,16,False,9,11.27,24.81,CIP | CN | CPD | CRO | F100 | FEP | FF,DO | OFX,9,0,True,False,missed_discs | ocr_wrong_code | zone_measurement_error | zone_selection_underestimate,
1.6.1,dryad_sirscan,dryad_original,REQUIRES_MANUAL_REVIEW,10,16,False,8,12.11,34.68,AMC | CIP | CPD | CRO | ETP | F100 | FEP | PEF,DO | STR,7,0,True,False,missed_discs | ocr_wrong_code | zone_measurement_error | zone_selection_underestimate,
1.7.1,dryad_sirscan,dryad_original,REQUIRES_MANUAL_REVIEW,12,16,False,2,20.51,24.87,AK | AMC | CAZ | CIP | CPD | CRO | ETP | FEP | FOX | MEM | PEF | SXT | TOB | TPZ,CLI | DO | P | P | P | P | P | P | P | TE,12,0,True,False,image_quality_or_thresholding_issue | missed_discs | ocr_wrong_code | zone_measurement_error,Glare or reflection detected on the plate. | Detected disc sizes vary more than expected; calibration may need review. | Glare or reflection detected on the plate.
1.8.1,dryad_sirscan,dryad_original,REQUIRES_MANUAL_REVIEW,20,16,False,2,6.54,12.62,AK | AMC | CAZ | CIP | CPD | CRO | ETP | FEP | FOX | MEM | PEF | SXT | TOB | TPZ,AM | AM | P | P | P | P | P | P | P | P | P | P | P | P | STR | TE | TE | VA,20,0,True,False,false_positive_discs | image_quality_or_thresholding_issue | ocr_wrong_code | zone_measurement_error,Glare or reflection detected on the plate. | Glare or reflection detected on the plate.
1.9.1,dryad_sirscan,dryad_original,REQUIRES_MANUAL_REVIEW,8,16,False,3,3.77,10.44,AMC | CAZ | CIP | CPD | CRO | ETP | FEP | FOX | MEM | PEF | SXT | TOB | TPZ,P | P | P | P | TE,8,0,True,False,image_quality_or_thresholding_issue | missed_discs | ocr_wrong_code,Glare or reflection detected on the plate. | Glare or reflection detected on the plate.
