image_id,code,ground_truth_code,predicted_code,ground_truth_mm,predicted_mm,error_mm,abs_error_mm,label_confidence,measurement_confidence,review_required,no_zone_fallback_used
1.1.1,AM,AM10,AM10,22.0,10.84,-11.16,11.16,0.99,0.68,True,False
1.1.1,AMC,AMC,AMC,22.0,20.57,-1.43,1.43,0.84,0.84,True,False
1.1.1,CAZ,CAZ,CAZ,28.0,15.22,-12.78,12.78,0.949,0.682,True,False
1.1.1,CIP,CIP,CIP,34.0,15.96,-18.04,18.04,0.99,0.689,True,False
1.1.1,CN,CN,CN,21.0,22.63,1.63,1.63,0.99,0.84,True,False
1.1.1,CPD,CPD,CPD,28.0,6.0,-22.0,22.0,0.99,0.672,True,True
1.1.1,CRO,CRO,CRO,35.0,14.17,-20.83,20.83,0.99,0.677,True,False
1.1.1,ETP,ETP,ETP,38.0,11.13,-26.87,26.87,0.99,0.688,True,False
1.1.1,F100,F100,F100,22.0,6.0,-16.0,16.0,0.99,0.689,True,True
1.1.1,FEP,FEP,FEP,36.0,6.0,-30.0,30.0,0.99,0.674,True,True
1.1.1,FF,FF,FF,30.0,11.16,-18.84,18.84,0.99,0.679,True,False
1.1.1,FOX,FOX,FOX,26.0,6.0,-20.0,20.0,0.99,0.689,True,True
1.1.1,MEM,MEM,MEM,34.0,10.29,-23.71,23.71,0.99,0.688,True,False
1.1.1,PEF,PEF,PEF,28.0,13.4,-14.6,14.6,0.99,0.676,True,False
1.1.1,SXT,SXT,SXT,30.0,13.67,-16.33,16.33,0.99,0.683,True,False
1.1.1,TPZ,TPZ,TPZ,26.0,6.0,-20.0,20.0,0.99,0.684,True,True
1.10.1,AK,AK,AK,20.0,19.74,-0.26,0.26,0.99,0.84,True,False
1.10.1,AM,AM10,AM10,6.0,10.44,4.44,4.44,0.99,0.681,True,False
1.10.1,AMC,AMC,AMC,13.0,12.33,-0.67,0.67,0.981,0.687,True,False
1.10.1,CAZ,CAZ,CAZ,22.0,6.0,-16.0,16.0,0.99,0.679,True,True
1.10.1,CIP,CIP,CIP,25.0,13.95,-11.05,11.05,0.99,0.705,True,False
1.10.1,CN,CN,CN,21.0,15.84,-5.16,5.16,0.99,0.689,True,False
1.10.1,CPD,CPD,CPD,22.0,6.0,-16.0,16.0,0.99,0.671,True,True
1.10.1,CRO,CRO,CRO,26.0,6.0,-20.0,20.0,0.99,0.683,True,True
1.10.1,ETP,ETP,ETP,28.0,11.02,-16.98,16.98,0.977,0.695,True,False
1.10.1,FEP,FEP,FEP,30.0,6.0,-24.0,24.0,0.99,0.676,True,True
1.10.1,FOX,FOX,FOX,6.0,6.0,0.0,0.0,0.84,0.683,True,True
1.10.1,MEM,MEM,MEM,30.0,10.58,-19.42,19.42,0.99,0.684,True,False
1.10.1,PEF,PEF,PEF,18.0,6.0,-12.0,12.0,0.99,0.684,True,True
1.10.1,SXT,SXT,SXT,18.0,10.65,-7.35,7.35,0.99,0.689,True,False
1.10.1,TOB,TOB,TOB,19.0,20.2,1.2,1.2,0.84,0.84,True,False
1.10.1,TPZ,TPZ,TPZ,19.0,6.0,-13.0,13.0,0.84,0.67,True,True
