image_id,code,ground_truth_code,predicted_code,ground_truth_mm,predicted_mm,error_mm,abs_error_mm,label_confidence,measurement_confidence,review_required,no_zone_fallback_used
1.1.1,AM,AM10,AM,22.0,30.63,8.63,8.63,0.99,0.84,True,False
1.1.1,CAZ,CAZ,CAZ,28.0,21.99,-6.01,6.01,0.949,0.71,True,False
1.1.1,CIP,CIP,CIP,34.0,38.29,4.29,4.29,0.99,0.728,True,False
1.1.1,CN,CN,CN,21.0,21.95,0.95,0.95,0.99,0.84,True,False
1.1.1,ETP,ETP,ETP,38.0,36.0,-2.0,2.0,0.99,0.697,True,False
1.1.1,FEP,FEP,FEP,36.0,42.23,6.23,6.23,0.99,0.719,True,False
1.1.1,FF,FF,FF,30.0,14.06,-15.94,15.94,0.99,0.768,True,False
1.1.1,FOX,FOX,FOX,26.0,22.17,-3.83,3.83,0.99,0.84,True,False
1.1.1,PEF,PEF,PEF,28.0,34.98,6.98,6.98,0.99,0.84,True,False
1.1.1,SXT,SXT,SXT,30.0,45.83,15.83,15.83,0.99,0.699,True,False
1.1.1,TPZ,TPZ,TPZ,26.0,24.23,-1.77,1.77,0.99,0.84,True,False
1.10.1,AK,AK,AK,20.0,19.51,-0.49,0.49,0.99,0.84,True,False
1.10.1,AM,AM10,AM,6.0,28.0,22.0,22.0,0.99,0.84,True,False
1.10.1,AMC,AMC,AMC,13.0,16.3,3.3,3.3,0.981,0.773,True,False
1.10.1,CAZ,CAZ,CAZ,22.0,27.77,5.77,5.77,0.99,0.84,True,False
1.10.1,CPD,CPD,CPD,22.0,32.05,10.05,10.05,0.99,0.84,True,False
1.10.1,CRO,CRO,CRO,26.0,34.43,8.43,8.43,0.99,0.84,True,False
1.10.1,ETP,ETP,ETP,28.0,11.48,-16.52,16.52,0.977,0.84,True,False
1.10.1,FEP,FEP,FEP,30.0,30.07,0.07,0.07,0.99,0.84,True,False
1.10.1,MEM,MEM,MEM,30.0,10.67,-19.33,19.33,0.99,0.694,True,False
1.10.1,PEF,PEF,PEF,18.0,16.3,-1.7,1.7,0.99,0.84,True,False
1.10.1,SXT,SXT,SXT,18.0,18.36,0.36,0.36,0.99,0.84,True,False
1.2.1,AM,AM10,AM,9.0,9.71,0.71,0.71,0.99,0.84,True,False
1.2.1,AMC,AMC,AMC,22.0,28.68,6.68,6.68,0.99,0.84,True,False
1.2.1,CAZ,CAZ,CAZ,24.0,31.16,7.16,7.16,0.92,0.84,True,False
1.2.1,CN,CN,CN,20.0,33.42,13.42,13.42,0.99,0.84,True,False
1.2.1,CRO,CRO,CRO,26.0,33.14,7.14,7.14,0.94,0.84,True,False
1.2.1,ETP,ETP,ETP,29.0,50.58,21.58,21.58,0.977,0.692,True,False
1.2.1,FEP,FEP,FEP,28.0,27.21,-0.79,0.79,0.99,0.724,True,False
1.2.1,FF,FF,FF,18.0,25.29,7.29,7.29,0.99,0.84,True,False
1.2.1,FOX,FOX,FOX,20.0,16.94,-3.06,3.06,0.99,0.84,True,False
1.2.1,MEM,MEM,MEM,34.0,10.39,-23.61,23.61,0.99,0.68,True,False
1.2.1,PEF,PEF,PEF,24.0,29.13,5.13,5.13,0.99,0.84,True,False
1.2.1,SXT,SXT,SXT,32.0,21.23,-10.77,10.77,0.99,0.84,True,False
1.2.1,TPZ,TPZ,TPZ,20.0,33.65,13.65,13.65,0.99,0.84,True,False
1.3.1,AM,AM10,AM,21.0,26.79,5.79,5.79,0.99,0.84,True,False
1.3.1,AMC,AMC,AMC,21.0,25.89,4.89,4.89,0.99,0.84,True,False
1.3.1,CAZ,CAZ,CAZ,26.0,30.85,4.85,4.85,0.92,0.84,True,False
1.3.1,CIP,CIP,CIP,36.0,16.96,-19.04,19.04,0.99,0.84,True,False
1.3.1,CN,CN,CN,20.0,33.48,13.48,13.48,0.97,0.84,True,False
1.3.1,CPD,CPD,CPD,25.0,29.46,4.46,4.46,0.99,0.84,True,False
1.3.1,ETP,ETP,ETP,33.0,43.3,10.3,10.3,0.977,0.69,True,False
1.3.1,FEP,FEP,FEP,32.0,37.56,5.56,5.56,0.99,0.724,True,False
1.3.1,FF,FF,FF,26.0,20.98,-5.02,5.02,0.99,0.84,True,False
