image_id,code,ground_truth_code,predicted_code,ground_truth_mm,predicted_mm,error_mm,abs_error_mm,label_confidence,measurement_confidence,review_required,no_zone_fallback_used
1.1.1,AM,AM10,AM10,22.0,10.84,-11.16,11.16,0.99,0.68,True,False
1.1.1,AMC,AMC,AMC,22.0,20.57,-1.43,1.43,0.84,0.84,True,False
1.1.1,CAZ,CAZ,CAZ,28.0,15.22,-12.78,12.78,0.949,0.682,True,False
1.1.1,CIP,CIP,CIP,34.0,15.96,-18.04,18.04,0.99,0.689,True,False
1.1.1,CN,CN,CN,21.0,22.63,1.63,1.63,0.99,0.84,True,False
1.1.1,CPD,CPD,CPD,28.0,6.0,-22.0,22.0,0.99,0.672,True,True
1.1.1,CRO,CRO,CRO,35.0,14.17,-20.83,20.83,0.99,0.677,True,False
1.1.1,ETP,ETP,ETP,38.0,11.13,-26.87,26.87,0.99,0.688,True,False
1.1.1,F100,F100,F100,22.0,6.0,-16.0,16.0,0.99,0.689,True,True
1.1.1,FEP,FEP,FEP,36.0,6.0,-30.0,30.0,0.99,0.674,True,True
1.1.1,FF,FF,FF,30.0,11.16,-18.84,18.84,0.99,0.679,True,False
1.1.1,FOX,FOX,FOX,26.0,6.0,-20.0,20.0,0.99,0.689,True,True
1.1.1,MEM,MEM,MEM,34.0,10.29,-23.71,23.71,0.99,0.688,True,False
1.1.1,PEF,PEF,PEF,28.0,13.4,-14.6,14.6,0.99,0.676,True,False
1.1.1,SXT,SXT,SXT,30.0,13.67,-16.33,16.33,0.99,0.683,True,False
1.1.1,TPZ,TPZ,TPZ,26.0,6.0,-20.0,20.0,0.99,0.684,True,True
1.10.1,AK,AK,AK,20.0,19.74,-0.26,0.26,0.99,0.84,True,False
1.10.1,AM,AM10,AM10,6.0,10.44,4.44,4.44,0.99,0.681,True,False
1.10.1,AMC,AMC,AMC,13.0,12.33,-0.67,0.67,0.981,0.687,True,False
1.10.1,CAZ,CAZ,CAZ,22.0,6.0,-16.0,16.0,0.99,0.679,True,True
1.10.1,CIP,CIP,CIP,25.0,13.95,-11.05,11.05,0.99,0.705,True,False
1.10.1,CN,CN,CN,21.0,15.84,-5.16,5.16,0.99,0.689,True,False
1.10.1,CPD,CPD,CPD,22.0,6.0,-16.0,16.0,0.99,0.671,True,True
1.10.1,CRO,CRO,CRO,26.0,6.0,-20.0,20.0,0.99,0.683,True,True
1.10.1,ETP,ETP,ETP,28.0,11.02,-16.98,16.98,0.977,0.695,True,False
1.10.1,FEP,FEP,FEP,30.0,6.0,-24.0,24.0,0.99,0.676,True,True
1.10.1,FOX,FOX,FOX,6.0,6.0,0.0,0.0,0.84,0.683,True,True
1.10.1,MEM,MEM,MEM,30.0,10.58,-19.42,19.42,0.99,0.684,True,False
1.10.1,PEF,PEF,PEF,18.0,6.0,-12.0,12.0,0.99,0.684,True,True
1.10.1,SXT,SXT,SXT,18.0,10.65,-7.35,7.35,0.99,0.689,True,False
1.10.1,TOB,TOB,TOB,19.0,20.2,1.2,1.2,0.84,0.84,True,False
1.10.1,TPZ,TPZ,TPZ,19.0,6.0,-13.0,13.0,0.84,0.67,True,True
1.2.1,AM,AM10,AM10,9.0,10.27,1.27,1.27,0.99,0.84,True,False
1.2.1,AMC,AMC,AMC,22.0,19.42,-2.58,2.58,0.99,0.84,True,False
1.2.1,CAZ,CAZ,CAZ,24.0,6.0,-18.0,18.0,0.92,0.693,True,True
1.2.1,CIP,CIP,CIP,28.0,6.0,-22.0,22.0,0.983,0.688,True,True
1.2.1,CN,CN,CN,20.0,13.82,-6.18,6.18,0.99,0.682,True,False
1.2.1,CPD,CPD,CPD,25.0,15.36,-9.64,9.64,0.94,0.693,True,False
1.2.1,CRO,CRO,CRO,26.0,13.26,-12.74,12.74,0.934,0.686,True,False
1.2.1,ETP,ETP,ETP,29.0,12.06,-16.94,16.94,0.977,0.685,True,False
1.2.1,F100,F100,F100,14.0,15.36,1.36,1.36,0.99,0.84,True,False
1.2.1,FEP,FEP,FEP,28.0,6.0,-22.0,22.0,0.99,0.678,True,True
1.2.1,FF,FF,FF,18.0,18.22,0.22,0.22,0.99,0.84,True,False
1.2.1,FOX,FOX,FOX,20.0,16.17,-3.83,3.83,0.99,0.687,True,False
1.2.1,MEM,MEM,MEM,34.0,11.31,-22.69,22.69,0.99,0.684,True,False
1.2.1,PEF,PEF,PEF,24.0,32.6,8.6,8.6,0.99,0.71,True,False
1.2.1,SXT,SXT,SXT,32.0,12.19,-19.81,19.81,0.99,0.681,True,False
1.2.1,TPZ,TPZ,TPZ,20.0,6.0,-14.0,14.0,0.99,0.673,True,True
1.3.1,AM,AM10,AM10,21.0,6.0,-15.0,15.0,0.99,0.684,True,True
1.3.1,AMC,AMC,AMC,21.0,19.2,-1.8,1.8,0.99,0.84,True,False
1.3.1,CAZ,CAZ,CAZ,26.0,6.0,-20.0,20.0,0.92,0.675,True,True
1.3.1,CIP,CIP,CIP,36.0,6.0,-30.0,30.0,0.99,0.695,True,True
1.3.1,CN,CN,CN,20.0,6.0,-14.0,14.0,0.97,0.699,True,True
1.3.1,CPD,CPD,CPD,25.0,6.0,-19.0,19.0,0.99,0.682,True,True
1.3.1,CRO,CRO,CRO,30.0,6.0,-24.0,24.0,0.84,0.688,True,True
1.3.1,ETP,ETP,ETP,33.0,11.16,-21.84,21.84,0.977,0.684,True,False
1.3.1,F100,F100,F100,17.0,18.3,1.3,1.3,0.99,0.84,True,False
1.3.1,FEP,FEP,FEP,32.0,6.0,-26.0,26.0,0.99,0.678,True,True
1.3.1,FF,FF,FF,26.0,21.82,-4.18,4.18,0.99,0.84,True,False
1.3.1,FOX,FOX,FOX,26.0,6.0,-20.0,20.0,0.99,0.689,True,True
1.3.1,MEM,MEM,MEM,34.0,11.09,-22.91,22.91,0.99,0.677,True,False
1.3.1,PEF,PEF,PEF,29.0,6.0,-23.0,23.0,0.99,0.697,True,True
1.3.1,SXT,SXT,SXT,29.0,10.87,-18.13,18.13,0.99,0.689,True,False
1.3.1,TPZ,TPZ,TPZ,24.0,14.51,-9.49,9.49,0.84,0.683,True,False
1.4.1,AM,AM10,AM10,9.0,9.96,0.96,0.96,0.99,0.84,True,False
1.4.1,AMC,AMC,AMC,21.0,6.0,-15.0,15.0,0.84,0.673,True,True
1.4.1,CAZ,CAZ,CAZ,25.0,15.42,-9.58,9.58,0.94,0.675,True,False
1.4.1,CIP,CIP,CIP,28.0,14.97,-13.03,13.03,0.94,0.696,True,False
1.4.1,CN,CN,CN,22.0,6.0,-16.0,16.0,0.99,0.679,True,True
1.4.1,CPD,CPD,CPD,26.0,12.38,-13.62,13.62,0.94,0.677,True,False
1.4.1,CRO,CRO,CRO,27.0,25.36,-1.64,1.64,0.975,0.84,True,False
1.4.1,ETP,ETP,ETP,29.0,11.25,-17.75,17.75,0.99,0.684,True,False
1.4.1,F100,F100,F100,6.0,16.39,10.39,10.39,0.99,0.702,True,False
1.4.1,FEP,FEP,FEP,29.0,14.65,-14.35,14.35,0.99,0.672,True,False
1.4.1,FF,FF,FF,17.0,17.43,0.43,0.43,0.99,0.84,True,False
1.4.1,FOX,FOX,FOX,20.0,6.0,-14.0,14.0,0.99,0.686,True,True
1.4.1,MEM,MEM,MEM,29.0,11.77,-17.23,17.23,0.99,0.682,True,False
1.4.1,PEF,PEF,PEF,25.0,6.0,-19.0,19.0,0.94,0.705,True,True
1.4.1,SXT,SXT,SXT,21.0,13.06,-7.94,7.94,0.99,0.692,True,False
1.4.1,TPZ,TPZ,TPZ,20.0,15.1,-4.9,4.9,0.99,0.67,True,False
1.5.1,AM,AM10,AM10,28.0,6.0,-22.0,22.0,0.968,0.682,True,True
1.5.1,AMC,AMC,AMC,26.0,15.1,-10.9,10.9,0.99,0.678,True,False
1.5.1,CAZ,CAZ,CAZ,30.0,6.0,-24.0,24.0,0.92,0.672,True,True
1.5.1,CIP,CIP,CIP,38.0,12.91,-25.09,25.09,0.94,0.688,True,False
1.5.1,CN,CN,CN,20.0,12.44,-7.56,7.56,0.99,0.673,True,False
1.5.1,CPD,CPD,CPD,35.0,12.78,-22.22,22.22,0.99,0.676,True,False
1.5.1,CRO,CRO,CRO,38.0,6.0,-32.0,32.0,0.988,0.679,True,True
1.5.1,ETP,ETP,ETP,37.0,10.73,-26.27,26.27,0.977,0.68,True,False
1.5.1,F100,F100,F100,6.0,14.27,8.27,8.27,0.99,0.697,True,False
1.5.1,FEP,FEP,FEP,36.0,6.0,-30.0,30.0,0.99,0.681,True,True
1.5.1,FF,FF,FF,6.0,9.52,3.52,3.52,0.99,0.673,True,False
1.5.1,FOX,FOX,FOX,26.0,6.0,-20.0,20.0,0.99,0.672,True,True
1.5.1,MEM,MEM,MEM,30.0,13.4,-16.6,16.6,0.99,0.682,True,False
1.5.1,PEF,PEF,PEF,28.0,6.0,-22.0,22.0,0.99,0.681,True,True
1.5.1,SXT,SXT,SXT,28.0,10.93,-17.07,17.07,0.99,0.698,True,False
1.5.1,TPZ,TPZ,TPZ,28.0,12.29,-15.71,15.71,0.918,0.676,True,False
1.6.1,AM,AM10,AM10,6.0,13.86,7.86,7.86,0.99,0.684,True,False
1.6.1,AMC,AMC,AMC,17.0,16.91,-0.09,0.09,0.99,0.84,True,False
1.6.1,CAZ,CAZ,CAZ,31.0,6.0,-25.0,25.0,0.92,0.666,True,True
1.6.1,CIP,CIP,CIP,19.0,11.94,-7.06,7.06,0.99,0.681,True,False
1.6.1,CN,CN,CN,19.0,10.49,-8.51,8.51,0.99,0.666,True,False
1.6.1,CPD,CPD,CPD,27.0,14.27,-12.73,12.73,0.99,0.678,True,False
1.6.1,CRO,CRO,CRO,33.0,6.0,-27.0,27.0,0.94,0.673,True,True
1.6.1,ETP,ETP,ETP,39.0,11.01,-27.99,27.99,0.99,0.684,True,False
1.6.1,F100,F100,F100,19.0,18.99,-0.01,0.01,0.99,0.84,True,False
1.6.1,FEP,FEP,FEP,36.0,6.0,-30.0,30.0,0.99,0.673,True,True
1.6.1,FF,FF,FF,30.0,14.43,-15.57,15.57,0.99,0.679,True,False
1.6.1,FOX,FOX,FOX,24.0,6.0,-18.0,18.0,0.99,0.679,True,True
1.6.1,MEM,MEM,MEM,38.0,11.24,-26.76,26.76,0.99,0.69,True,False
1.6.1,PEF,PEF,PEF,6.0,9.43,3.43,3.43,0.99,0.679,True,False
1.6.1,SXT,SXT,SXT,25.0,10.06,-14.94,14.94,0.99,0.679,True,False
1.6.1,TPZ,TPZ,TPZ,13.0,15.31,2.31,2.31,0.969,0.678,True,False
1.7.1,AK,AK,AK,19.0,21.22,2.22,2.22,0.99,0.84,True,False
1.7.1,AM,AM10,AM,6.0,13.08,7.08,7.08,0.99,0.695,True,False
1.7.1,AMC,AMC,AMC,6.0,23.99,17.99,17.99,0.99,0.84,True,False
1.7.1,CAZ,CAZ,CAZ,26.0,12.48,-13.52,13.52,0.92,0.686,True,False
1.7.1,CIP,CIP,CIP,30.0,6.0,-24.0,24.0,0.99,0.687,True,True
1.7.1,CN,CN,CN,22.0,6.0,-16.0,16.0,0.99,0.668,True,True
1.7.1,CPD,CPD,CPD,21.0,20.99,-0.01,0.01,0.99,0.84,True,False
1.7.1,CRO,CRO,CRO,25.0,6.0,-19.0,19.0,0.99,0.688,True,True
1.7.1,FEP,FEP,FEP,29.0,6.0,-23.0,23.0,0.99,0.676,True,True
1.7.1,FOX,FOX,FOX,15.0,6.0,-9.0,9.0,0.99,0.688,True,True
1.7.1,MEM,MEM,MEM,29.0,12.43,-16.57,16.57,0.99,0.688,True,False
1.7.1,PEF,PEF,PEF,25.0,14.42,-10.58,10.58,0.99,0.675,True,False
1.7.1,SXT,SXT,SXT,22.0,12.32,-9.68,9.68,0.99,0.686,True,False
1.7.1,TOB,TOB,TOB,21.0,22.84,1.84,1.84,0.99,0.84,True,False
1.7.1,TPZ,TPZ,TPZ,20.0,6.0,-14.0,14.0,0.99,0.677,True,True
1.8.1,AK,AK,AK,19.0,20.87,1.87,1.87,0.968,0.84,True,False
1.8.1,AM,AM10,AM10,6.0,8.81,2.81,2.81,0.99,0.674,True,False
1.8.1,AMC,AMC,AMC,21.0,24.82,3.82,3.82,0.99,0.84,True,False
1.8.1,CAZ,CAZ,CAZ,26.0,15.56,-10.44,10.44,0.99,0.683,True,False
1.8.1,CIP,CIP,CIP,27.0,16.93,-10.07,10.07,0.96,0.84,True,False
1.8.1,CN,CN,CN,20.0,21.8,1.8,1.8,0.99,0.84,True,False
1.8.1,CPD,CPD,CPD,28.0,6.0,-22.0,22.0,0.99,0.691,True,True
1.8.1,CRO,CRO,CRO,30.0,9.97,-20.03,20.03,0.99,0.697,True,False
1.8.1,ETP,ETP,ETP,32.0,11.29,-20.71,20.71,0.99,0.688,True,False
1.8.1,FEP,FEP,FEP,29.0,6.0,-23.0,23.0,0.99,0.672,True,True
1.8.1,FOX,FOX,FOX,23.0,6.0,-17.0,17.0,0.99,0.669,True,True
1.8.1,MEM,MEM,MEM,29.0,10.99,-18.01,18.01,0.99,0.678,True,False
1.8.1,PEF,PEF,PEF,26.0,14.82,-11.18,11.18,0.99,0.668,True,False
1.8.1,SXT,SXT,SXT,25.0,25.05,0.05,0.05,0.99,0.84,True,False
1.8.1,TPZ,TPZ,TPZ,20.0,16.19,-3.81,3.81,0.99,0.686,True,False
1.9.1,AK,AK,AK,20.0,22.07,2.07,2.07,0.99,0.84,True,False
1.9.1,AM,AM10,AM10,20.0,11.4,-8.6,8.6,0.99,0.681,True,False
1.9.1,AMC,AMC,AMC,21.0,19.04,-1.96,1.96,0.981,0.84,True,False
1.9.1,CAZ,CAZ,CAZ,26.0,12.14,-13.86,13.86,0.99,0.68,True,False
1.9.1,CIP,CIP,CIP,28.0,6.0,-22.0,22.0,0.99,0.677,True,True
1.9.1,CN,CN,CN,22.0,6.0,-16.0,16.0,0.99,0.669,True,True
1.9.1,CPD,CPD,CPD,22.0,6.0,-16.0,16.0,0.99,0.681,True,True
1.9.1,CRO,CRO,CRO,30.0,6.0,-24.0,24.0,0.99,0.68,True,True
1.9.1,ETP,ETP,ETP,30.0,9.41,-20.59,20.59,0.977,0.672,True,False
1.9.1,FEP,FEP,FEP,32.0,6.0,-26.0,26.0,0.99,0.683,True,True
1.9.1,FOX,FOX,FOX,22.0,12.87,-9.13,9.13,0.99,0.69,True,False
1.9.1,MEM,MEM,MEM,32.0,10.87,-21.13,21.13,0.99,0.686,True,False
1.9.1,PEF,PEF,PEF,24.0,12.94,-11.06,11.06,0.99,0.693,True,False
1.9.1,SXT,SXT,SXT,6.0,10.55,4.55,4.55,0.99,0.688,True,False
1.9.1,TOB,TOB,TOB,22.0,13.86,-8.14,8.14,0.99,0.696,True,False
1.9.1,TPZ,TPZ,TPZ,22.0,15.99,-6.01,6.01,0.99,0.674,True,False
