image_id,source_group,provenance,analysis_status,predicted_disc_count,expected_disc_count,count_matches_ground_truth,matched_disc_count,measurement_mae_mm,measurement_max_abs_error_mm,missing_codes,unexpected_codes,review_required_count,failed_count,strict_failed,full_pass,root_causes,warnings
1.1.1,dryad_sirscan,dryad_original,REQUIRES_MANUAL_REVIEW,16,16,True,11,6.95,24.0,AMC | CPD | CRO | F100 | MEM,DO | P | P | P | P,16,0,True,False,incorrect_no_zone_fallback | ocr_wrong_code | zone_measurement_error,
1.10.1,dryad_sirscan,dryad_original,REQUIRES_MANUAL_REVIEW,16,16,True,11,6.99,28.89,CIP | CN | FOX | TOB | TPZ,P | P | P | P | P,16,0,True,False,image_quality_or_thresholding_issue | ocr_wrong_code | zone_measurement_error | zone_selection_underestimate,Glare or reflection detected on the plate. | Glare or reflection detected on the plate.
1.2.1,dryad_sirscan,dryad_original,REQUIRES_MANUAL_REVIEW,16,16,True,13,8.57,23.61,CIP | CPD | F100,AM | COL | VA,16,0,True,False,ocr_wrong_code | zone_measurement_error | zone_selection_underestimate,
1.3.1,dryad_sirscan,dryad_original,REQUIRES_MANUAL_REVIEW,16,16,True,13,7.86,17.92,CRO | F100 | TPZ,P | P | UNKNOWN,16,0,True,False,ocr_blank_or_unknown | ocr_wrong_code | zone_measurement_error | zone_selection_underestimate,
1.4.1,dryad_sirscan,dryad_original,REQUIRES_MANUAL_REVIEW,16,16,True,11,6.09,14.41,AMC | CAZ | CRO | F100 | PEF,FF | GAT | NOR | P | UNKNOWN,16,0,True,False,image_quality_or_thresholding_issue | ocr_blank_or_unknown | ocr_wrong_code | zone_measurement_error | zone_selection_underestimate,Glare or reflection detected on the plate. | Glare or reflection detected on the plate.
1.5.1,dryad_sirscan,dryad_original,REQUIRES_MANUAL_REVIEW,16,16,True,11,9.02,19.15,CIP | CPD | CRO | F100 | SXT,AM | CN | OFX | VA | VA,16,0,True,False,ocr_wrong_code | zone_measurement_error | zone_selection_underestimate,
1.6.1,dryad_sirscan,dryad_original,REQUIRES_MANUAL_REVIEW,16,16,True,12,12.19,34.63,AMC | CIP | CRO | F100,AM | DO | P | UNKNOWN,16,0,True,False,ocr_blank_or_unknown | ocr_wrong_code | zone_measurement_error | zone_selection_underestimate,
1.7.1,dryad_sirscan,dryad_original,REQUIRES_MANUAL_REVIEW,16,16,True,13,8.36,24.33,CPD | CRO | ETP,P | P | VA,16,0,True,False,image_quality_or_thresholding_issue | ocr_wrong_code | zone_measurement_error | zone_selection_underestimate,Glare or reflection detected on the plate. | Glare or reflection detected on the plate.
1.8.1,dryad_sirscan,dryad_original,REQUIRES_MANUAL_REVIEW,16,16,True,12,5.4,16.11,AM | CIP | PEF | TOB,P | P | TE | VA,16,0,True,False,image_quality_or_thresholding_issue | ocr_wrong_code | zone_measurement_error | zone_selection_underestimate,Glare or reflection detected on the plate. | Glare or reflection detected on the plate.
1.9.1,dryad_sirscan,dryad_original,REQUIRES_MANUAL_REVIEW,16,16,True,15,9.51,34.03,CAZ,P,16,0,True,False,image_quality_or_thresholding_issue | incorrect_no_zone_fallback | ocr_wrong_code | zone_measurement_error | zone_selection_underestimate,Glare or reflection detected on the plate. | Glare or reflection detected on the plate.
