image_id,code,ground_truth_code,predicted_code,ground_truth_mm,predicted_mm,error_mm,abs_error_mm,label_confidence,measurement_confidence,review_required,no_zone_fallback_used
1.1.1,AM,AM10,AM,22.0,19.66,-2.34,2.34,0.99,0.84,True,False
1.1.1,CAZ,CAZ,CAZ,28.0,21.99,-6.01,6.01,0.949,0.712,True,False
1.1.1,CIP,CIP,CIP,34.0,33.72,-0.28,0.28,0.99,0.733,True,False
1.1.1,CN,CN,CN,21.0,21.72,0.72,0.72,0.99,0.84,True,False
1.1.1,ETP,ETP,ETP,38.0,47.58,9.58,9.58,0.99,0.711,True,False
1.1.1,FEP,FEP,FEP,36.0,42.23,6.23,6.23,0.99,0.716,True,False
1.1.1,FF,FF,FF,30.0,6.0,-24.0,24.0,0.99,0.768,True,True
1.1.1,FOX,FOX,FOX,26.0,23.55,-2.45,2.45,0.99,0.84,True,False
1.1.1,PEF,PEF,PEF,28.0,34.98,6.98,6.98,0.99,0.84,True,False
1.1.1,SXT,SXT,SXT,30.0,45.83,15.83,15.83,0.99,0.704,True,False
1.1.1,TPZ,TPZ,TPZ,26.0,24.0,-2.0,2.0,0.99,0.84,True,False
1.10.1,AK,AK,AK,20.0,19.51,-0.49,0.49,0.99,0.84,True,False
1.10.1,AM,AM10,AM,6.0,34.89,28.89,28.89,0.99,0.84,True,False
1.10.1,AMC,AMC,AMC,13.0,16.3,3.3,3.3,0.981,0.773,True,False
1.10.1,CAZ,CAZ,CAZ,22.0,28.0,6.0,6.0,0.99,0.84,True,False
1.10.1,CPD,CPD,CPD,22.0,32.59,10.59,10.59,0.99,0.84,True,False
1.10.1,CRO,CRO,CRO,26.0,34.43,8.43,8.43,0.99,0.84,True,False
1.10.1,ETP,ETP,ETP,28.0,11.71,-16.29,16.29,0.977,0.84,True,False
1.10.1,FEP,FEP,FEP,30.0,30.53,0.53,0.53,0.99,0.84,True,False
1.10.1,MEM,MEM,MEM,30.0,30.07,0.07,0.07,0.99,0.84,True,False
1.10.1,PEF,PEF,PEF,18.0,16.3,-1.7,1.7,0.99,0.84,True,False
1.10.1,SXT,SXT,SXT,18.0,18.59,0.59,0.59,0.99,0.84,True,False
1.2.1,AM,AM10,AM,9.0,9.94,0.94,0.94,0.99,0.84,True,False
1.2.1,AMC,AMC,AMC,22.0,28.68,6.68,6.68,0.99,0.84,True,False
1.2.1,CAZ,CAZ,CAZ,24.0,31.16,7.16,7.16,0.92,0.84,True,False
1.2.1,CN,CN,CN,20.0,33.95,13.95,13.95,0.99,0.84,True,False
1.2.1,CRO,CRO,CRO,26.0,33.17,7.17,7.17,0.94,0.84,True,False
1.2.1,ETP,ETP,ETP,29.0,47.98,18.98,18.98,0.977,0.705,True,False
1.2.1,FEP,FEP,FEP,28.0,27.15,-0.85,0.85,0.99,0.719,True,False
1.2.1,FF,FF,FF,18.0,25.29,7.29,7.29,0.99,0.84,True,False
1.2.1,FOX,FOX,FOX,20.0,16.94,-3.06,3.06,0.99,0.84,True,False
1.2.1,MEM,MEM,MEM,34.0,10.39,-23.61,23.61,0.99,0.675,True,False
1.2.1,PEF,PEF,PEF,24.0,29.13,5.13,5.13,0.99,0.84,True,False
1.2.1,SXT,SXT,SXT,32.0,34.78,2.78,2.78,0.99,0.84,True,False
1.2.1,TPZ,TPZ,TPZ,20.0,33.87,13.87,13.87,0.99,0.84,True,False
1.3.1,AM,AM10,AM,21.0,26.34,5.34,5.34,0.99,0.84,True,False
1.3.1,AMC,AMC,AMC,21.0,25.89,4.89,4.89,0.99,0.84,True,False
1.3.1,CAZ,CAZ,CAZ,26.0,31.78,5.78,5.78,0.92,0.84,True,False
1.3.1,CIP,CIP,CIP,36.0,18.08,-17.92,17.92,0.99,0.84,True,False
1.3.1,CN,CN,CN,20.0,33.71,13.71,13.71,0.97,0.84,True,False
1.3.1,CPD,CPD,CPD,25.0,29.46,4.46,4.46,0.99,0.84,True,False
1.3.1,ETP,ETP,ETP,33.0,45.63,12.63,12.63,0.977,0.71,True,False
1.3.1,FEP,FEP,FEP,32.0,31.25,-0.75,0.75,0.99,0.84,True,False
1.3.1,FF,FF,FF,26.0,20.98,-5.02,5.02,0.99,0.84,True,False
1.3.1,FOX,FOX,FOX,26.0,19.42,-6.58,6.58,0.99,0.84,True,False
1.3.1,MEM,MEM,MEM,34.0,35.49,1.49,1.49,0.99,0.685,True,False
1.3.1,PEF,PEF,PEF,29.0,35.27,6.27,6.27,0.99,0.84,True,False
1.3.1,SXT,SXT,SXT,29.0,46.31,17.31,17.31,0.99,0.708,True,False
1.4.1,AM,AM10,AM,9.0,9.06,0.06,0.06,0.99,0.84,True,False
1.4.1,CIP,CIP,CIP,28.0,37.81,9.81,9.81,0.94,0.84,True,False
1.4.1,CN,CN,CN,22.0,20.15,-1.85,1.85,0.99,0.84,True,False
1.4.1,CPD,CPD,CPD,26.0,34.41,8.41,8.41,0.94,0.84,True,False
1.4.1,ETP,ETP,ETP,29.0,25.98,-3.02,3.02,0.99,0.84,True,False
1.4.1,FEP,FEP,FEP,29.0,36.62,7.62,7.62,0.99,0.71,True,False
1.4.1,FF,FF,FF,17.0,17.83,0.83,0.83,0.99,0.84,True,False
1.4.1,FOX,FOX,FOX,20.0,32.83,12.83,12.83,0.99,0.84,True,False
1.4.1,MEM,MEM,MEM,29.0,22.41,-6.59,6.59,0.99,0.686,True,False
1.4.1,SXT,SXT,SXT,21.0,19.47,-1.53,1.53,0.99,0.84,True,False
1.4.1,TPZ,TPZ,TPZ,20.0,34.41,14.41,14.41,0.99,0.84,True,False
1.5.1,AM,AM10,AM,28.0,13.38,-14.62,14.62,0.99,0.84,True,False
1.5.1,AMC,AMC,AMC,26.0,25.64,-0.36,0.36,0.99,0.84,True,False
1.5.1,CAZ,CAZ,CAZ,30.0,27.43,-2.57,2.57,0.92,0.84,True,False
1.5.1,CN,CN,CN,20.0,29.88,9.88,9.88,0.99,0.84,True,False
1.5.1,ETP,ETP,ETP,37.0,44.44,7.44,7.44,0.977,0.711,True,False
1.5.1,FEP,FEP,FEP,36.0,38.07,2.07,2.07,0.99,0.722,True,False
1.5.1,FF,FF,FF,6.0,11.82,5.82,5.82,0.99,0.84,True,False
1.5.1,FOX,FOX,FOX,26.0,45.15,19.15,19.15,0.99,0.702,True,False
