image_id,code,ground_truth_code,predicted_code,ground_truth_mm,predicted_mm,error_mm,abs_error_mm,label_confidence,measurement_confidence,review_required,no_zone_fallback_used
1.1.1,AM,AM10,AM10,22.0,6.0,-16.0,16.0,0.99,0.68,True,True
1.1.1,AMC,AMC,AMC,22.0,20.57,-1.43,1.43,0.84,0.84,True,False
1.1.1,CAZ,CAZ,CAZ,28.0,15.22,-12.78,12.78,0.949,0.682,True,False
1.1.1,CIP,CIP,CIP,34.0,15.96,-18.04,18.04,0.99,0.689,True,False
1.1.1,CN,CN,CN,21.0,22.63,1.63,1.63,0.99,0.84,True,False
1.1.1,CPD,CPD,CPD,28.0,17.03,-10.97,10.97,0.99,0.672,True,False
1.1.1,CRO,CRO,CRO,35.0,6.0,-29.0,29.0,0.99,0.677,True,True
1.1.1,ETP,ETP,ETP,38.0,6.0,-32.0,32.0,0.99,0.688,True,True
1.1.1,F100,F100,F100,22.0,20.8,-1.2,1.2,0.99,0.689,True,False
1.1.1,FEP,FEP,FEP,36.0,18.84,-17.16,17.16,0.99,0.674,True,False
1.1.1,FF,FF,FF,30.0,6.0,-24.0,24.0,0.99,0.679,True,True
1.1.1,FOX,FOX,FOX,26.0,6.0,-20.0,20.0,0.99,0.689,True,True
1.1.1,MEM,MEM,MEM,34.0,6.0,-28.0,28.0,0.99,0.688,True,True
1.1.1,PEF,PEF,PEF,28.0,6.0,-22.0,22.0,0.99,0.676,True,True
1.1.1,SXT,SXT,SXT,30.0,6.0,-24.0,24.0,0.99,0.683,True,True
1.1.1,TPZ,TPZ,TPZ,26.0,16.6,-9.4,9.4,0.99,0.684,True,False
1.10.1,AM,AM10,AM10,6.0,6.0,0.0,0.0,0.99,0.681,True,True
1.10.1,AMC,AMC,AMC,13.0,12.33,-0.67,0.67,0.981,0.687,True,False
1.10.1,CAZ,CAZ,CAZ,22.0,17.97,-4.03,4.03,0.99,0.679,True,False
1.10.1,CIP,CIP,CIP,25.0,13.95,-11.05,11.05,0.99,0.705,True,False
1.10.1,CN,CN,CN,21.0,15.84,-5.16,5.16,0.99,0.689,True,False
1.10.1,CPD,CPD,CPD,22.0,17.44,-4.56,4.56,0.99,0.671,True,False
1.10.1,CRO,CRO,CRO,26.0,20.93,-5.07,5.07,0.99,0.683,True,False
1.10.1,ETP,ETP,ETP,28.0,6.0,-22.0,22.0,0.977,0.695,True,True
1.10.1,FEP,FEP,FEP,30.0,19.21,-10.79,10.79,0.99,0.676,True,False
1.10.1,FOX,FOX,FOX,6.0,18.45,12.45,12.45,0.84,0.683,True,False
1.10.1,MEM,MEM,MEM,30.0,10.58,-19.42,19.42,0.99,0.684,True,False
1.10.1,PEF,PEF,PEF,18.0,19.1,1.1,1.1,0.99,0.684,True,False
1.10.1,SXT,SXT,SXT,18.0,6.0,-12.0,12.0,0.99,0.689,True,True
1.10.1,TPZ,TPZ,TPZ,19.0,18.75,-0.25,0.25,0.84,0.67,True,False
